expedientecum,consecutivocum,cantidad_cum,forma_farmaceutica,codigo_concentracion,unidad_cum,modalidad,vias_administracion,unidades_medida,familias_atc,numero_filas_fuente,numero_cantidades_ingrediente_distintas,numero_principios_activos,tipos_rol,numero_vias_administracion,numero_codigos_atc,numero_unidades_medida,numero_unidades_referencia,numero_tipos_rol,numero_actores,es_muestra_medica
20048021,41,203.0,TABLETA RECUBIERTA,A,U,FABRICAR Y VENDER,ORAL,mg,C,3.0,3.0,3.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
20077715,48,100.0,TABLETA RECUBIERTA,A,U,FABRICAR Y VENDER,ORAL,mg,A,4.0,2.0,2.0,FABRICANTE,1.0,2.0,1.0,1.0,1.0,1.0,0
19924285,37,2.0,SOLUCION INYECTABLE,C,U,FABRICAR Y VENDER,INTRAMUSCULAR | INTRAVENOSA | SUBCUTANEA,mg,N,3.0,1.0,1.0,FABRICANTE,3.0,1.0,1.0,1.0,1.0,1.0,0
45821,20,10.0,TABLETA CUBIERTA (GRAGEA),A,U,IMPORTAR Y VENDER,ORAL,mg,C,5.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,5.0,0
20163993,5,10.0,SOLUCION OFTALMICA,C,U,FABRICAR Y VENDER,OFTÁLMICA,mg,S,2.0,2.0,2.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,1
20166399,12,30.0,TABLETA,A,U,FABRICAR Y VENDER,ORAL,mg,A,2.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,2.0,0
20193910,2,28.0,TABLETA RECUBIERTA,A,U,IMPORTAR Y VENDER,ORAL,mg,L,3.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,3.0,0
20025951,16,120.0,CAPSULA DURA,A,U,IMPORTAR Y VENDER,ORAL,mg,L,3.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,3.0,1
19989090,5,4.0,TABLETA RECUBIERTA,A,U,FABRICAR Y VENDER,ORAL,mg,C,2.0,2.0,2.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,1
19942618,6,10.0,TABLETA CUBIERTA CON PELICULA,A,U,IMPORTAR Y VENDER,ORAL,mg,L,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
19952099,7,10.0,SOLUCION INYECTABLE,C,U,IMPORTAR Y VENDER,INTRAVENOSA | PARENTERAL,mg,L,6.0,1.0,1.0,FABRICANTE | IMPORTADOR,2.0,1.0,1.0,1.0,2.0,3.0,0
20163214,5,50.0,POLVO ESTERIL PARA RECONSTITUIR A SOLUCION INYECTABLE,A,U,IMPORTAR Y VENDER,INTRAMUSCULAR | INTRAVENOSA,mg,J,4.0,1.0,1.0,FABRICANTE | IMPORTADOR,2.0,1.0,1.0,1.0,2.0,2.0,0
20087456,51,100.0,TABLETA RECUBIERTA,A,U,FABRICAR Y VENDER,ORAL,mg,C,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
20212053,2,48.0,TABLETA RECUBIERTA,A,U,FABRICAR Y VENDER,ORAL,mg,N,3.0,3.0,3.0,FABRICANTE,1.0,1.0,1.0,2.0,1.0,1.0,0
19961424,1,10.0,TABLETA DE LIBERACION PROLONGADA,A,U,IMPORTAR Y VENDER,ORAL,mg,N,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
20125165,1,10.0,POLVO PARA SOLUCIÓN INYECTABLE,A,U,IMPORTAR Y VENDER,INTRAVENOSA,mg,J,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
20042480,294,1.0,SOLUCION ORAL,B,U,FABRICAR Y VENDER,ORAL,g,A,5.0,5.0,5.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,1
20030605,3,5.0,EMULSION INYECTABLE,A,U,IMPORTAR Y VENDER,INTRAVENOSA,g | mg,B,56.0,28.0,28.0,FABRICANTE | IMPORTADOR,1.0,1.0,2.0,1.0,2.0,2.0,0
20094212,3,30.0,TABLETA RECUBIERTA,A,U,FABRICAR Y VENDER,ORAL,mg,C,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,1
20084690,12,100.0,SOLUCION INYECTABLE,S,U,IMPORTAR Y VENDER,INTRA-ARTERIAL | INTRAVENOSA | SUBCUTANEA,mg,B,6.0,1.0,1.0,FABRICANTE | IMPORTADOR,3.0,1.0,1.0,1.0,2.0,2.0,0
20115463,1,30.0,TABLETA RECUBIERTA,A,U,IMPORTAR Y VENDER,ORAL,mg,L,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
19963423,22,3.0,COMPRIMIDO,A,U,FABRICAR Y VENDER,ORAL,mg,A,2.0,2.0,2.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
35662,14,60.0,TABLETA,A,U,FABRICAR Y VENDER,ORAL,mg,B,2.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,2.0,0
20016549,40,1.0,CAPSULA DURA,A,U,FABRICAR Y VENDER,ORAL,mg,N,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,1
20018316,3,1.0,CREMA TOPICA,D,U,FABRICAR Y VENDER,TOPICA (EXTERNA),g,D,12.0,3.0,3.0,FABRICANTE,1.0,4.0,1.0,1.0,1.0,1.0,0
20030605,4,5.0,EMULSION INYECTABLE,A,U,IMPORTAR Y VENDER,INTRAVENOSA,g | mg,B,56.0,28.0,28.0,FABRICANTE | IMPORTADOR,1.0,1.0,2.0,1.0,2.0,2.0,0
20254578,6,10.0,TABLETA,A,U,FABRICAR Y VENDER,ORAL,mg,A,2.0,2.0,2.0,FABRICANTE,1.0,1.0,1.0,2.0,1.0,1.0,0
20077715,21,28.0,TABLETA RECUBIERTA,A,U,FABRICAR Y VENDER,ORAL,mg,A,4.0,2.0,2.0,FABRICANTE,1.0,2.0,1.0,1.0,1.0,1.0,0
19932059,12,12.0,TABLETA,A,U,IMPORTAR. SEMIELABORAR Y VENDER,ORAL,mg,N,9.0,3.0,3.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,3.0,0
20119982,7,30.0,TABLETA,A,U,FABRICAR Y VENDER,ORAL,mg,C,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
27674,1,2.0,TABLETA CUBIERTA (GRAGEA),A,U,IMPORTAR Y VENDER,ORAL,mg,N,6.0,2.0,3.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,2.0,2.0,2.0,1
19968257,12,10.0,CAPSULA DURA,A,U,IMPORTAR Y VENDER,ORAL,mg,L,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,1
19993863,39,1.0,SOLUCION ORAL,B,U,IMPORTAR Y VENDER,ORAL,g,A,12.0,6.0,6.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,1
19905376,4,1.0,SUSPENSION INYECTABLE,S,U,IMPORTAR Y VENDER,INTRAMUSCULAR,UI | mcg | ud,J,30.0,6.0,10.0,FABRICANTE | IMPORTADOR,1.0,1.0,3.0,3.0,2.0,3.0,0
20150368,1,1.0,SOLUCION INYECTABLE,A,U,IMPORTAR Y VENDER,INTRA-ARTICULAR | INTRALESIONAL | INTRAMUSCULAR | INTRAVENOSA | TEJIDO BLANDO,mg,H,10.0,1.0,1.0,FABRICANTE | IMPORTADOR,5.0,1.0,1.0,1.0,2.0,2.0,0
20111469,2,1.0,SOLUCION INYECTABLE,S,U,IMPORTAR Y VENDER,SUBCUTANEA,UI | mcg,A,6.0,2.0,2.0,FABRICANTE | IMPORTADOR,1.0,1.0,2.0,2.0,2.0,3.0,1
19943837,2,2.0,GRANULOS,A,U,IMPORTAR Y VENDER,ORAL,g,J,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
20233534,10,200.0,TABLETA RECUBIERTA,A,U,FABRICAR Y VENDER,ORAL,mg,C,2.0,2.0,2.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
20078742,37,7.0,POLVO,A,U,IMPORTAR. SEMIELABORAR Y VENDER,ORAL,mg,N,6.0,3.0,3.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,1
19935777,14,150.0,TABLETA RECUBIERTA,A,U,FABRICAR Y VENDER,ORAL,mg,N,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
20135023,9,10.0,TABLETA RECUBIERTA,A,U,IMPORTAR Y VENDER,ORAL,mg,L,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,1
20053867,3,14.0,TABLETA RECUBIERTA,A,U,IMPORTAR Y VENDER,ORAL,mg,J,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
20218812,5,2.0,CAPSULA DURA,A,U,IMPORTAR. SEMIELABORAR Y VENDER,ORAL,mg,C,6.0,2.0,2.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,1
