modelo,fold,accuracy,precision,recall,f1,balanced_accuracy,roc_auc,pr_auc,train_f1
Regresion logistica,1,0.6663754504750464,0.35936275790023503,0.6956521739130435,0.47391079731358704,0.6769805652961234,0.7516969292105907,0.42600635241545454,0.5021763249978664
Regresion logistica,2,0.6770559930008749,0.37368014421838786,0.7358012170385395,0.49564474807856534,0.6983523653513947,0.7735352944570332,0.4614068762064484,0.4972684538178122
Regresion logistica,3,0.6715879265091863,0.369949494949495,0.742524075012671,0.49384796898702177,0.6972974579497884,0.7694566580506055,0.4503032077792283,0.49819555895215045
Regresion logistica,4,0.665318614056181,0.3615776081424936,0.7198581560283688,0.48136856368563685,0.6850858724392714,0.758091778486174,0.43236027506294955,0.5001680389850446
Regresion logistica,5,0.6704570303958014,0.36296685954760655,0.6997971602434077,0.4780048493245584,0.6810945656249099,0.7545143084872067,0.42709929859366086,0.5011523151058035
SVM lineal,1,0.6625532379600306,0.3575089697590979,0.7052578361981799,0.4744897959183674,0.6780224269443331,0.750260949564868,0.4232163921072474,0.5007308415117979
SVM lineal,2,0.6701662292213474,0.36818181818181817,0.7393509127789046,0.4915711395819285,0.6952471239856598,0.7728370782703526,0.4604149075244821,0.4960219935852043
SVM lineal,3,0.6666666666666666,0.3669225055706858,0.7511403953370501,0.4930139720558882,0.6972826506039594,0.7675876812212391,0.449051934687308,0.49750534568781185
SVM lineal,4,0.659416329653514,0.35788949726231956,0.7284701114488349,0.47997329773030706,0.684444114957867,0.7574393950626437,0.43151694513641076,0.4987947801512759
SVM lineal,5,0.6677235950142139,0.3608139838246804,0.7013184584178499,0.4764857881136951,0.6799037232150582,0.7536701795587062,0.4250387261437286,0.5007475083056478
Red neuronal MLP,1,0.6769684394452331,0.37246225923997917,0.7234580384226491,0.4917525773195876,0.6938086960465384,0.7631671608194387,0.44507359929267254,0.5509520376574361
Red neuronal MLP,2,0.6801181102362205,0.3749015489629824,0.7241379310344828,0.49403217436429686,0.6960762159355347,0.7760138735379529,0.4751120019677689,0.5480943738656987
Red neuronal MLP,3,0.6852580927384077,0.380385937086968,0.7293461733400912,0.5,0.7012370247539949,0.7735786131885176,0.451254850039655,0.5457756602456155
Red neuronal MLP,4,0.6620395671658105,0.3600400600901352,0.7284701114488349,0.4819034852546917,0.6861165888254628,0.7589386060599643,0.4687025805858101,0.5339000040094624
Red neuronal MLP,5,0.6889350535753335,0.3795197350262214,0.697261663286004,0.4915102770330652,0.6919539428780174,0.7637155400021829,0.46183697982879995,0.5527420791449293
Arbol de decision,1,0.6348148957082014,0.3428439944776806,0.7532861476238625,0.4712207463630613,0.6777295761103015,0.7468220561290508,0.4579394693749302,0.5255583126550869
Arbol de decision,2,0.6800087489063867,0.37687145069695405,0.7403651115618661,0.49948682860075266,0.7018891927022939,0.7709808484426137,0.47907891656286744,0.5226434638491817
Arbol de decision,3,0.6652449693788276,0.3671875,0.7622909275215408,0.4956335475366617,0.700417531812646,0.7690950266189429,0.47947561764743185,0.5243912370714228
Arbol de decision,4,0.6692534703246257,0.3640826873385013,0.7137791286727457,0.48220396988364134,0.6853913064966516,0.7407108437562882,0.467245639040184,0.5263939293962389
Arbol de decision,5,0.6989940957795757,0.3865814696485623,0.6749492900608519,0.49159741458910433,0.6902764292512233,0.7611713487005984,0.4598060122726185,0.5430320489737126
K vecinos mas cercanos,1,0.7258927596374358,0.40620592383638926,0.5824064711830131,0.4786040714582468,0.6739167054341031,0.7445412562283179,0.43218956642334094,0.6031677852348993
K vecinos mas cercanos,2,0.723753280839895,0.40028797696184304,0.563894523326572,0.46821052631578947,0.6658011378484505,0.747361555926869,0.46076375529641245,0.6042177015656619
K vecinos mas cercanos,3,0.7360017497812773,0.4177545691906005,0.5676634566649772,0.4813064030941126,0.6749905625257671,0.75036472365782,0.46150224137810614,0.6001068376068376
K vecinos mas cercanos,4,0.7261995846540605,0.40155728587319245,0.5486322188449848,0.46371226718047526,0.6618422418266736,0.73202778983934,0.44254206495850273,0.6038981787197785
