modelo,accuracy_mean,accuracy_std,accuracy_train_mean,precision_mean,precision_std,precision_train_mean,recall_mean,recall_std,recall_train_mean,f1_mean,f1_std,f1_train_mean,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_train_mean,roc_auc_mean,roc_auc_std,roc_auc_train_mean,pr_auc_mean,pr_auc_std,pr_auc_train_mean
Regresion logistica,0.670159002887418,0.004675568110733983,0.6766563446852891,0.36550737295164365,0.00604525003543356,0.37510826299174216,0.7187265564472061,0.020915876815043036,0.7486824119333,0.4845553854778739,0.009691474157510139,0.4997921383717355,0.6877621653322976,0.009629855536207545,0.7027611776098783,0.761458993738322,0.009548093646582842,0.7787612617317168,0.4394352020115483,0.015679852695665915,0.4575940026758392
SVM lineal,0.6653052117031545,0.0042890535099973145,0.6713982223273465,0.36226335491972034,0.005014264098725779,0.3717218619829451,0.7251075428361639,0.021516396395593773,0.7577264772291492,0.4831067986800372,0.008627086659452311,0.4987600938483475,0.6869800079413755,0.008820890963968034,0.7026868026199511,0.7603590567355619,0.009528789324723026,0.7787715033996809,0.4378477811198353,0.016225267096371964,0.45715365676898534
Red neuronal MLP,0.678663852632201,0.010372291570742046,0.7006234140487677,0.37346190808125723,0.00818317346965782,0.40609490401670756,0.7205347835064124,0.01326439064339908,0.8348858395276585,0.4918397027943283,0.006523839230957657,0.5462928309846283,0.6938384936879096,0.005543597594354264,0.7492850535141276,0.7670827587216114,0.007330726917060864,0.8303507824423436,0.4603960023429413,0.012308259461072694,0.5543956872731315
Arbol de decision,0.6696632360195234,0.023459671681647764,0.6922330269372768,0.36751342043233964,0.016367803471812496,0.3952921107467368,0.7289341210881735,0.03528597827465544,0.7983098270852523,0.48802850139464427,0.011383023841431781,0.5284037983891287,0.6911408072746232,0.010188847301856872,0.7306797485332872,0.7577560247294988,0.01346498447533858,0.8158865368087176,0.4687091309796064,0.010257224657015908,0.5329428383795168
K vecinos mas cercanos,0.7288160089864699,0.0051071205859073475,0.7965403240270233,0.4064479303014753,0.006887711433054796,0.5207281258301136,0.5575903279187167,0.021658819305193384,0.7165358659376377,0.4700277905263362,0.00976416596752598,0.6031290743764939,0.6667555790910376,0.007663837495626747,0.7675435849542686,0.7427649581145437,0.007207558212210618,0.8779269665230895,0.4453872918342552,0.015141478114746261,0.668103066053492
Votacion,0.6886992696155845,0.007761100884241252,0.70538921664385,0.38326793358328837,0.006293299295525862,0.4083212753457978,0.7260054060345773,0.020097653038290534,0.812416706377508,0.5015769269675112,0.006561812986459462,0.5434321274494142,0.7022188863108575,0.006465679768858074,0.7441799899850832,0.7791424363167051,0.0091562436799278,0.8284982898559944,0.4962451106718161,0.009386014845570197,0.5609693299376615
Bagging,0.6990835775558365,0.005800537402326829,0.7177851766055218,0.39189892746258687,0.004134041322411091,0.41935957932377466,0.7146553109460234,0.01601178903656316,0.7996514129050083,0.5061206499067251,0.0032259643577989276,0.5501262910719494,0.7047259240039245,0.0035301094696284733,0.7474566959430831,0.7823046636098396,0.00483696649299342,0.8328290690663375,0.5068642533735531,0.012432684929412735,0.5692485498205375
Boosting AdaBoost,0.6547907771898832,0.01568221022747441,0.6560454890475163,0.35836730027927327,0.011789240815705909,0.35931173531799604,0.7568150622201807,0.03142843931494946,0.7576992254929693,0.48618233895328905,0.012774472849855759,0.487367464606329,0.6917677976798247,0.012532800436101554,0.69288822827108,0.7632083539049018,0.011966114315567237,0.7656645143803605,0.45612699072465784,0.009194138429391869,0.45746757254672943
Regresion logistica ajustada,0.6692847382170679,0.005108566799949192,0.6754265105902404,0.3652210239271185,0.00633903011198698,0.3737681867771368,0.7221688297484631,0.023924741462888987,0.7465798890401112,0.4850673596513574,0.010409930422387283,0.4981392306591011,0.6884519175795571,0.010481047020548417,0.7012150731805807,0.7626386978509394,0.010121268564066262,0.7769270914855368,0.4429653778880649,0.01641464492188651,0.45767433788862083
SVM lineal ajustada,0.6582868789360861,0.006519749615189705,0.6618227284487768,0.3603279315922965,0.006325558112889407,0.36620295688132704,0.7532803517188145,0.03288970057911297,0.7761674137442686,0.48736469197774657,0.011286513177607578,0.4976096215290632,0.6927163996825317,0.012195431635609287,0.7032654587826992,0.760463548564142,0.01125418355629931,0.7758275688352277,0.4344503598231489,0.01658065555456436,0.44906872915299373
